"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Source","EID"
"Tan J.; Polinder H.; Laguna A.J.; Miedema S.","Tan, Jian (57221523529); Polinder, Henk (6603815497); Laguna, Antonio Jarquin (57454893400); Miedema, Sape (6602853568)","57221523529; 6603815497; 57454893400; 6602853568","The application of the spectral domain modeling to the power take-off sizing of heaving wave energy converters","2022","Applied Ocean Research","122","","103110","","","","5","10.1016/j.apor.2022.103110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125776463&doi=10.1016%2fj.apor.2022.103110&partnerID=40&md5=2b69f15875c96904784df90a19c42c46","Article","Scopus","2-s2.0-85125776463"
"Gong H.; Cao F.; Han Z.; Liu S.; Shi H.","Gong, Haoxiang (57211851657); Cao, Feifei (56479913000); Han, Zhi (57191220431); Liu, Shangze (57211854399); Shi, Hongda (15023660400)","57211851657; 56479913000; 57191220431; 57211854399; 15023660400","Study on the wave energy capture spectrum based on wave height take-off","2022","Energy","250","","123700","","","","2","10.1016/j.energy.2022.123700","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127339277&doi=10.1016%2fj.energy.2022.123700&partnerID=40&md5=4685798c625883570b73c84db1273f9d","Article","Scopus","2-s2.0-85127339277"
"Cotten A.; Forehand D.I.M.","Cotten, A. (57216827652); Forehand, D.I.M. (36936698000)","57216827652; 36936698000","Multi-objective optimisation of a sloped-motion, multibody wave energy converter concept","2022","Renewable Energy","194","","","307","320","13","1","10.1016/j.renene.2022.05.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131257300&doi=10.1016%2fj.renene.2022.05.030&partnerID=40&md5=a52913a10970e6f0459d6d77a2aec9d1","Article","Scopus","2-s2.0-85131257300"
"Liu Z.; Xu C.; Kim K.; Li M.","Liu, Zhen (56349270600); Xu, Chuanli (57196343101); Kim, Kilwon (57005636600); Li, Ming (56926994300)","56349270600; 57196343101; 57005636600; 56926994300","Experimental study on the overall performance of a model OWC system under the free-spinning mode in irregular waves","2022","Energy","250","","123779","","","","3","10.1016/j.energy.2022.123779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126962842&doi=10.1016%2fj.energy.2022.123779&partnerID=40&md5=5b7828874565ad4d4d30727b10966e93","Article","Scopus","2-s2.0-85126962842"
"Wu J.; Qin L.; Chen N.; Qian C.; Zheng S.","Wu, Jinming (55562276000); Qin, Liuzhen (57435385100); Chen, Ni (55927188700); Qian, Chen (57216507013); Zheng, Siming (55553935700)","55562276000; 57435385100; 55927188700; 57216507013; 55553935700","Investigation on a spring-integrated mechanical power take-off system for wave energy conversion purpose","2022","Energy","245","","123318","","","","26","10.1016/j.energy.2022.123318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123831395&doi=10.1016%2fj.energy.2022.123318&partnerID=40&md5=4f63810fa5ea615c50d4026be7286774","Article","Scopus","2-s2.0-85123831395"
"Wang X.-Y.; Liu Y.; Lu L.","Wang, Xin-yu (57201302373); Liu, Yong (36065211200); Lu, Lin (55286426300)","57201302373; 36065211200; 55286426300","Three-dimensional (3D) semi-analytical solution of wave-induced fluid resonance in narrow gaps of caisson-type breakwaters","2022","Ocean Engineering","253","","111305","","","","2","10.1016/j.oceaneng.2022.111305","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129080577&doi=10.1016%2fj.oceaneng.2022.111305&partnerID=40&md5=6c9860d2d1000999e7282b41cde8749b","Article","Scopus","2-s2.0-85129080577"
"Li W.; Wan L.; Lin Y.; Liu G.; Qu H.; Wen H.; Ding J.; Ning H.; Yao H.","Li, Wangtao (57371660900); Wan, Lingyu (8604675800); Lin, Yang (57432807200); Liu, Guanlin (56263900900); Qu, Hang (57371661000); Wen, Honggui (57372114900); Ding, Jiajun (57371360300); Ning, Heng (57433817100); Yao, Huilu (22636179500)","57371660900; 8604675800; 57432807200; 56263900900; 57371661000; 57372114900; 57371360300; 57433817100; 22636179500","Synchronous nanogenerator with intermittent sliding friction self-excitation for water wave energy harvesting","2022","Nano Energy","95","","106994","","","","9","10.1016/j.nanoen.2022.106994","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123775769&doi=10.1016%2fj.nanoen.2022.106994&partnerID=40&md5=2280ce9eb78fa51e95b097440dd89172","Article","Scopus","2-s2.0-85123775769"
"Li M.; Luo H.; Zhou S.; Senthil Kumar G.M.; Guo X.; Law T.C.; Cao S.","Li, Ming (57580981700); Luo, Haojie (57467286900); Zhou, Shijie (57381343100); Senthil Kumar, Gokula Manikandan (57232172800); Guo, Xinman (57375626600); Law, Tin Chung (57665854600); Cao, Sunliang (55767494500)","57580981700; 57467286900; 57381343100; 57232172800; 57375626600; 57665854600; 55767494500","State-of-the-art review of the flexibility and feasibility of emerging offshore and coastal ocean energy technologies in East and Southeast Asia","2022","Renewable and Sustainable Energy Reviews","162","","112404","","","","9","10.1016/j.rser.2022.112404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129410994&doi=10.1016%2fj.rser.2022.112404&partnerID=40&md5=7ab432310824abe955f821030b409889","Review","Scopus","2-s2.0-85129410994"
"Ahn S.; Neary V.S.; Haas K.A.","Ahn, Seongho (57205417583); Neary, Vincent S. (6701367686); Haas, Kevin A. (7102395453)","57205417583; 6701367686; 7102395453","Global wave energy resource classification system for regional energy planning and project development","2022","Renewable and Sustainable Energy Reviews","162","","112438","","","","9","10.1016/j.rser.2022.112438","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128713555&doi=10.1016%2fj.rser.2022.112438&partnerID=40&md5=365b2dee54545e45e723811255310698","Article","Scopus","2-s2.0-85128713555"
"Azam A.; Ahmed A.; Li H.; Tairab A.M.; Jia C.; Li N.; Zhang Z.","Azam, Ali (57211580254); Ahmed, Ammar (57211583874); Li, Hai (57208621692); Tairab, Alaeldin M. (57467524800); Jia, Changyuan (57365223600); Li, Ning (57365151300); Zhang, Zutao (14625810900)","57211580254; 57211583874; 57208621692; 57467524800; 57365223600; 57365151300; 14625810900","Design and analysis of the optimal spinning top-shaped buoy for wave energy harvesting in low energy density seas for sustainable marine aquaculture","2022","Ocean Engineering","255","","111434","","","","4","10.1016/j.oceaneng.2022.111434","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129232814&doi=10.1016%2fj.oceaneng.2022.111434&partnerID=40&md5=b3c0514ae7c30ae66a7b5dd0a34fb4cb","Article","Scopus","2-s2.0-85129232814"
