Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Dizadji, N., Sajadian, S.E.","28767665000; 56703084700","Modeling and optimization of the chamber of OWC system",2011,"Energy",36,"5",,2360,2366,,65,10.1016/j.energy.2011.01.010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79955671866&partnerID=40&md5=bc31b9bdaac00e3fb31c1e827e026fe4",Article,Final,"",Scopus,2-s2.0-79955671866
"Sharmila, N., Jalihal, P., Swamy, A.K., Ravindran, M.","56440148200; 6602338800; 7004482554; 7006288983","Wave powered desalination system",2004,"Energy",29,"11",,1659,1672,,65,10.1016/j.energy.2004.03.099,"https://www.scopus.com/inward/record.url?eid=2-s2.0-3442878459&partnerID=40&md5=39a127962a133a8a7cbd423ec8c52710",Article,Final,"",Scopus,2-s2.0-3442878459
"Zhang, Y., Zhao, Y., Sun, W., Li, J.","57214947168; 35236004000; 57222019212; 57222027355","Ocean wave energy converters: Technical principle, device realization, and performance evaluation",2021,"Renewable and Sustainable Energy Reviews",141,"", 110764,,,,64,10.1016/j.rser.2021.110764,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100969031&partnerID=40&md5=c63682468549356ea238058dbf9bb59e",Review,Final,"",Scopus,2-s2.0-85100969031
"Zhao, X.L., Ning, D.Z., Liang, D.F.","57188976802; 7005820185; 15019276700","Experimental investigation on hydrodynamic performance of a breakwater-integrated WEC system",2019,"Ocean Engineering",171,"",,25,32,,64,10.1016/j.oceaneng.2018.10.036,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85057206892&partnerID=40&md5=c3539b59966ee3b92f4ab92750f6c00e",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85057206892
"Elhanafi, A., Fleming, A., Macfarlane, G., Leong, Z.","57008301100; 54894398200; 14834108300; 56349242300","Numerical energy balance analysis for an onshore oscillating water column–wave energy converter",2016,"Energy",116,"",,539,557,,64,10.1016/j.energy.2016.09.118,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84989857315&partnerID=40&md5=1794095b94cff290f1082c0e3e94315d",Article,Final,"",Scopus,2-s2.0-84989857315
"Bailey, H., Robertson, B.R.D., Buckham, B.J.","56284409700; 56252010800; 6602528861","Wave-to-wire simulation of a floating oscillating water column wave energy converter",2016,"Ocean Engineering",125,"",,248,260,,64,10.1016/j.oceaneng.2016.08.017,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84983523290&partnerID=40&md5=2eb604668d5b5f2e748a59c7777d20cb",Article,Final,"",Scopus,2-s2.0-84983523290
"Davidson, J., Giorgi, S., Ringwood, J.V.","56421137900; 55794752400; 6603725188","Linear parametric hydrodynamic models for ocean wave energy converters identified from numerical wave tank experiments",2015,"Ocean Engineering",103,"",,31,39,,64,10.1016/j.oceaneng.2015.04.056,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84930197200&partnerID=40&md5=37f0e9a22052dcfbf8345b804bb72c0f",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84930197200
"López, M., Veigas, M., Iglesias, G.","7404123882; 55447005400; 56261589800","On the wave energy resource of Peru",2015,"Energy Conversion and Management",90,"",,34,40,,64,10.1016/j.enconman.2014.11.012,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84911897030&partnerID=40&md5=f40c1d9e0a22ac816cb661a62c9f8cd8",Article,Final,"",Scopus,2-s2.0-84911897030
"Azzellino, A., Ferrante, V., Kofoed, J.P., Lanfredi, C., Vicinanza, D.","6602326657; 23027257300; 7006769458; 24776006900; 6507679469","Optimal siting of offshore wind-power combined with wave energy through a marine spatial planning approach",2013,"International Journal of Marine Energy",3-4,"",,e11,e25,,64,10.1016/j.ijome.2013.11.008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84890490801&partnerID=40&md5=09f03394dda57344d6f9a5bbfefc646d",Article,Final,"",Scopus,2-s2.0-84890490801
"Nobre, A., Pacheco, M., Jorge, R., Lopes, M.F.P., Gato, L.M.C.","56348185800; 57197092054; 57196676065; 56911702700; 7004360885","Geo-spatial multi-criteria analysis for wave energy conversion system deployment",2009,"Renewable Energy",34,"1",,97,111,,64,10.1016/j.renene.2008.03.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-51849135443&partnerID=40&md5=c8b9645011ac6bafa5059b84d15baf3a",Article,Final,"",Scopus,2-s2.0-51849135443
