Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"De Koker, K.L., Crevecoeur, G., Meersman, B., Vantorre, M., Vandevelde, L.","57190738466; 16315920200; 24781247000; 6602156672; 6701572189","A power take-off and control strategy in a test wave energy converter for a moderate wave climate",2016,"Renewable Energy and Power Quality Journal",1,"14", 368,478,483,,2,10.24084/repqj14.368,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061812309&partnerID=40&md5=d08337fe432e8f915bc7a99654aedb7f",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85061812309
"Enferad, E., Nazarpour, D., Golshannavaz, S., Aminifar, F.","35409042000; 35409932600; 36677225300; 23007475800","Direct drive surge wave energy converter with grid integration functionality",2016,"International Transactions on Electrical Energy Systems",26,"5",,1066,1084,,2,10.1002/etep.2125,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84940491176&partnerID=40&md5=0a92df90350b5244423b285422d0ae76",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-84940491176
"Tutar, M., Veci, I.","6603439300; 56781544400","Experimental study on performance assessment of Savonius rotor type wave energy converter in an experimental wave flume",2016,"IET Renewable Power Generation",10,"4",,541,550,,2,10.1049/iet-rpg.2015.0335,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84962076612&partnerID=40&md5=ee4c3f99f414275b21981ab39a2571a5",Article,Final,"",Scopus,2-s2.0-84962076612
"Bellamy, N.W., Bucchi, A., Hearn, G.E.","7102269456; 8607993400; 7005235376","Analysis of the SEA-OWC-Clam wave energy device - Part A: Historical development, hydrodynamic and motion response formulations &amp; solutions",2016,"Renewable Energy",88,"",,220,235,,2,10.1016/j.renene.2015.11.032,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84947983544&partnerID=40&md5=d11e118d9e032ab573da24b267f6a2df",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84947983544
"Stiassnie, M., Kadri, U., Stuhlmeier, R.","35618524800; 25646568400; 6504745701","Harnessing wave power in open seas",2016,"Journal of Ocean Engineering and Marine Energy",2,"1",,47,57,,2,10.1007/s40722-015-0038-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019093785&partnerID=40&md5=341f35aa58878126e3a412325c4e8263",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85019093785
"Goswami, P., Deshmukh, S.P.","57195053312; 36443469200","An overview of ocean energy in the world and its potential in India",2016,"Water and Energy International",59RNI,"5",,62,68,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84987624416&partnerID=40&md5=6f075d18b4ca065162fd2dd022348a11",Review,Final,"",Scopus,2-s2.0-84987624416
"Paredes, G.M., Taveira-Pinto, F.","57003489200; 56423223800","An experimental technique to track mooring cables in small scale models using image processing",2016,"Ocean Engineering",111,"",,439,448,,2,10.1016/j.oceaneng.2015.11.014,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84949425818&partnerID=40&md5=4ee092da2b148613bdddef2801b7ae1a",Article,Final,"",Scopus,2-s2.0-84949425818
"Wang, D.-J., Qiu, S.-Q., Ye, J.-W.","7407074627; 50262804000; 8669172700","An experimental study on a trapezoidal pendulum wave energy converter in regular waves",2015,"China Ocean Engineering",29,"4",,623,632,,2,10.1007/s13344-015-0044-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84937964681&partnerID=40&md5=6a954419dc5ae56e7e86bf88ecb1b984",Article,Final,"",Scopus,2-s2.0-84937964681
"Jiang, F., Tang, X.-C., Jin, Z., Zhang, L., Chen, H.-Z.","36701205300; 55522702500; 57221039506; 55993008500; 55992951500","Numerical method for wave forces acting on partially perforated caisson",2015,"China Ocean Engineering",29,"2",,197,208,,2,10.1007/s13344-015-0081-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84928319521&partnerID=40&md5=6d46f077e7a8438448ab7fd44c4208d2",Article,Final,"",Scopus,2-s2.0-84928319521
"Miller, A., Albertani, R.","56784791600; 9840634400","Single-point power-mooring composite cables for wave energy converters",2015,"Journal of Offshore Mechanics and Arctic Engineering",137,"5", 051903,,,,2,10.1115/1.4030900,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84939530749&partnerID=40&md5=b049e390383381abd51b0987fa248917",Article,Final,"",Scopus,2-s2.0-84939530749
"Sarkar, D., Dias, F.","55356048300; 7102398944","Performance enhancement of the Oscillating wave Surge converter by a breakwater",2015,"Journal of Ocean and Wind Energy",2,"2",,73,80,,2,10.17736/jowe.2015.tsr03,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84936879235&partnerID=40&md5=8d831169511b14a191364c0ffa0d9bf5",Article,Final,"",Scopus,2-s2.0-84936879235
"Santos, M., Salcedo, F., Tedeschi, E., Robles, E., Villate, J.L.","26031092500; 52564272100; 16025394900; 24766512900; 16069363000","Centralized control of a wave energy farm",2012,"Renewable Energy and Power Quality Journal",1,"10", 514,880,885,,2,10.24084/repqj10.514,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84899656980&partnerID=40&md5=17fa845f2d6bd16f04a73c0030d682cb",Article,Final,"",Scopus,2-s2.0-84899656980
"Fronek, A., Nosonovsky, M., Barger, B., Avdeev, I.","55857058200; 8531950800; 55596799900; 6701337120","Tribological and Mechanical Design Considerations for Wave Energy Collecting Devices",2012,"Green Energy and Technology",49,"",,607,619,,2,10.1007/978-3-642-23681-5_21,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884218308&partnerID=40&md5=593a1e9b851e6a103900d05478956c41",Review,Final,"",Scopus,2-s2.0-84884218308
"Santana, A.G., Andrade, D.E.M., Jaén, A.L.V.","55925607600; 55516786200; 57211288802","Output power of linear generators under reactive control in regular waves",2011,"Renewable Energy and Power Quality Journal",1,"9", 345,392,397,,2,10.24084/repqj09.345,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84937878584&partnerID=40&md5=c058733ad49c550dee3eaeaa1d3fa02d",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-84937878584
"Fonseca, N., Pessoa, J., Pascoal, R., Morais, T., Dias, R.","7006829371; 57195581592; 9244347200; 35974994300; 57197666057","Design pressure distributions on the hull of the FLOW wave energy converter",2010,"Ocean Engineering",37,"7",,611,626,,2,10.1016/j.oceaneng.2010.01.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77951622246&partnerID=40&md5=d4de7782fd562a63c370acda6503ba7b",Article,Final,"",Scopus,2-s2.0-77951622246
"Krishnakumar, C., Sundar, V., Sannasiraj, S.A.","55250620100; 7005380538; 6603500375","Pressures and forces due to directional waves on a vertical wall fronted by wave screens",2010,"Applied Ocean Research",32,"1",,1,10,,2,10.1016/j.apor.2010.05.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77954540682&partnerID=40&md5=5d4f0f77c500010479fb1a9a9753e8ee",Article,Final,"",Scopus,2-s2.0-77954540682
"Muthukumar, S., Jayashankar, V.","56023961400; 6602747700","Enhancing the energy efficiency of the impulse turbine of a wave energy plant",2008,"International Journal of Sustainable Energy",27,"4",,173,180,,2,10.1080/14786450802450112,"https://www.scopus.com/inward/record.url?eid=2-s2.0-55349114391&partnerID=40&md5=b10ee7e7c10b979d58e402d6e0842580",Article,Final,"",Scopus,2-s2.0-55349114391
"Kashiwagi, M., Yamada, H., Yasunaga, M., Tsuji, T.","24724699400; 55198826300; 14631356600; 35188083700","Development of floating body with high performance in wave reflection",2007,"International Journal of Offshore and Polar Engineering",17,"1",,39,46,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33947634535&partnerID=40&md5=189aa8734a3184803748c1bb7d7512b8",Article,Final,"",Scopus,2-s2.0-33947634535
"Cruz, J.M.B.P., Sarmento, A.J.N.A.","9244629400; 7007082950","Wave energy absorption by a submerged sphere of variable radius with a swinging single point moored tension line",2005,"International Journal of Offshore and Polar Engineering",15,"1",,40,45,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-15444362326&partnerID=40&md5=6183751a76d187834938f71094799c3d",Article,Final,"",Scopus,2-s2.0-15444362326
"Alcorn, R.G., Finnigan, T.D.","6603808687; 55950343200","Control strategy development for an inverter controlled wave energy plant",2004,"Renewable Energy and Power Quality Journal",1,"2",,81,87,,2,10.24084/repqj02.213,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85025352530&partnerID=40&md5=c4a70830977c03421f3019e97194271f",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85025352530
"Setoguchi, T., Kim, T.-H., Kaneko, K., Takao, M., Lee, Y.-W., Inoue, M.","7102564807; 55696468900; 7403696120; 25030738700; 15033712900; 55706856800","Air turbine with staggered blades for wave power conversion",2003,"International Journal of Offshore and Polar Engineering",13,"4",,316,320,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-1342269852&partnerID=40&md5=2317b7e4aeb9b2a666ebf820fd8a3812",Article,Final,"",Scopus,2-s2.0-1342269852
[No author name available],[No author name available],"Members of the Engineering Committee on Oceanic Resources (ECOR) Working Group on Wave Energy Conversion",2003,"Elsevier Ocean Engineering Series",6,"C",,vii,,,2,10.1016/S1571-9952(03)80049-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85023096245&partnerID=40&md5=67893ca2bbf7a29012cb4855bc6bfac2",Article,Final,"",Scopus,2-s2.0-85023096245
"Li, N., García Medina, G., Yang, Z., Cheung, K.F., Hitzl, D., Chen, Y.-L.","55596924400; 55789622100; 55914640400; 58176641500; 56441722200; 7601443168","Wave climate and energy resources in the Mariana Islands from a 42-year high-resolution hindcast",2023,"Renewable Energy",215,"", 118835,,,,1,10.1016/j.renene.2023.05.093,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85162840793&partnerID=40&md5=519c7d1b5c7b47ca05d9d66b8a331055",Article,Final,"",Scopus,2-s2.0-85162840793
"Chen, Y., Zhang, D., Li, X., Peng, Y., Wu, C., Pu, H., Zhou, D., Cao, Y., Zhang, J.","57204566074; 57188659040; 57901112100; 57705140100; 57200913734; 23061219100; 58175800800; 57986470500; 58175800900","Significant wave height prediction through artificial intelligent mode decomposition for wave energy management",2023,"Energy and AI",14,"", 100257,,,,1,10.1016/j.egyai.2023.100257,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85152033495&partnerID=40&md5=1269ead8873e0a4bbfa4a93f5dbf36fd",Article,Final,"",Scopus,2-s2.0-85152033495
"Morais, F.J.F., Carrelhas, A.A.D., Gato, L.M.C.","58195797200; 57208272722; 7004360885","Biplane-rotor Wells turbine: The influence of solidity, presence of guide vanes and comparison with other configurations",2023,"Energy",276,"", 127514,,,,1,10.1016/j.energy.2023.127514,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85153509778&partnerID=40&md5=bba27ab825ffbe01f03c55c756de6a6e",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85153509778
"Carrelhas, A.A.D., Gato, L.M.C., Henriques, J.C.C., Marques, G.D.","57208272722; 7004360885; 36173947400; 7006311208","Estimation of generator electrical power output and turbine torque in modelling and field testing of OWC wave energy converters",2023,"Energy Conversion and Management: X",19,"", 100384,,,,1,10.1016/j.ecmx.2023.100384,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85159632362&partnerID=40&md5=132a799b9f20b73d74c0b1d10602c468",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85159632362
"Carrelhas, A.A.D., Gato, L.M.C., Henriques, J.C.C.","57208272722; 7004360885; 36173947400","Peak shaving control in OWC wave energy converters: From concept to implementation in the Mutriku wave power plant",2023,"Renewable and Sustainable Energy Reviews",180,"", 113299,,,,1,10.1016/j.rser.2023.113299,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85154614861&partnerID=40&md5=3fe6ac059af38edd41ec0248fcc4c438",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85154614861
"Amini, E., Nasiri, M., Pargoo, N.S., Mozhgani, Z., Golbaz, D., Baniesmaeil, M., Nezhad, M.M., Neshat, M., Astiaso Garcia, D., Sylaios, G.","57219563072; 57221310794; 57205516694; 58188664700; 57219795103; 58189014200; 57207201874; 25654357600; 57211258655; 6602302396","Design optimization of ocean renewable energy converter using a combined Bi-level metaheuristic approach",2023,"Energy Conversion and Management: X",19,"", 100371,,,,1,10.1016/j.ecmx.2023.100371,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85152927813&partnerID=40&md5=2a0a679ed081842cff861873007b1e65",Article,Final,"",Scopus,2-s2.0-85152927813
"Zheng, S., Phillips, J.W., Hann, M., Greaves, D.","55553935700; 57198608641; 55851687200; 7102627638","Mathematical modelling of a floating Clam-type wave energy converter",2023,"Renewable Energy",210,"",,280,294,,1,10.1016/j.renene.2023.04.040,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85152888443&partnerID=40&md5=e5c582995d16a7552b197a1922e13241",Article,Final,"",Scopus,2-s2.0-85152888443
"Dong, Y., Zheng, Z., Ma, Y., Gao, J., Ma, X., Dong, G.","57211446937; 57216100342; 35386679300; 55616975100; 7404549704; 55793639300","Numerical investigation on the mitigation of harbor oscillations by periodic undulating topography",2023,"Ocean Engineering",279,"", 114580,,,,1,10.1016/j.oceaneng.2023.114580,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85152639750&partnerID=40&md5=aadcb9695c1c82322aef4d58cfbfc351",Article,Final,"",Scopus,2-s2.0-85152639750
"Rezaei, S., Rahimi, A., Parvizian, J., Mansoorzadeh, S., Düster, A.","57841132100; 58183892100; 6507867764; 15739726900; 6508293028","A rectified unidirectional rotary PTO for two-body wave energy converters",2023,"Ocean Engineering",279,"", 114507,,,,1,10.1016/j.oceaneng.2023.114507,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85152525956&partnerID=40&md5=a18a98b988d06cb361ef93a6f303e5ec",Article,Final,"",Scopus,2-s2.0-85152525956
"Zhang, S., Sang, H., Sun, X., Liu, F., Zhou, Y., Yu, P.","57219252540; 35932656300; 57221082699; 57142974700; 57218154721; 57219251039","Research on the maneuverability and path following control of the wave glider with a propeller-rudder system",2023,"Ocean Engineering",278,"", 114346,,,,1,10.1016/j.oceaneng.2023.114346,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85151665438&partnerID=40&md5=478ea8c31dad0a411f4d37d198733cd8",Article,Final,"",Scopus,2-s2.0-85151665438
"Mao, L., Li, X., Chen, Y.","57191199578; 57221400585; 37032685200","Numerical Investigation of Ship Waves and Associated Hydrodynamics Over a Sloping Bed With a Non-Hydrostatic Model",2023,"Journal of Offshore Mechanics and Arctic Engineering",145,"3", 031201,,,,1,10.1115/1.4056314,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85144091759&partnerID=40&md5=89f54281168822c8702b8ede1f9cc2af",Article,Final,"",Scopus,2-s2.0-85144091759
"Tan, J., Polinder, H., Laguna, A.J., Miedema, S.","57221523529; 6603815497; 57454893400; 6602853568","A wave-to-wire analysis of the adjustable draft point absorber wave energy converter coupled with a linear permanent-magnet generator",2023,"Ocean Engineering",276,"", 114195,,,,1,10.1016/j.oceaneng.2023.114195,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85150471306&partnerID=40&md5=0ae78f6d9f9bef316b39e24a714524d2",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85150471306
"Ahmed, A., Wang, Y., Azam, A., Li, N., Jia, C., Zhang, Z.","57211583874; 57656332100; 57211580254; 57365151300; 57365223600; 14625810900","Design of an S-shaped point-absorber wave energy converter with a non-linear PTO to power the satellite-respondent buoys in the East China Sea",2023,"Ocean Engineering",275,"", 114162,,,,1,10.1016/j.oceaneng.2023.114162,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85150063761&partnerID=40&md5=4b85e8ad012a61d4297be07a68a2ad50",Article,Final,"",Scopus,2-s2.0-85150063761
"Governo, A.F.L., Henriques, J.C.C., Gato, L.M.C.","58141953800; 36173947400; 7004360885","Modelling mooring line snap loads using a high-order finite-volume approach",2023,"Ocean Engineering",275,"", 113803,,,,1,10.1016/j.oceaneng.2023.113803,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85150030031&partnerID=40&md5=ae25ebb544434e4d06c438fe8bf8a9ea",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85150030031
"Miškov, V., Dragić, M., Tomin, V., Hofman, M.","6505581200; 53863236200; 57189893045; 7007004707","Sea trials of Sigma wave energy converter – slacking and snapping of TLP mooring lines",2023,"Marine Structures",89,"", 103378,,,,1,10.1016/j.marstruc.2023.103378,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85147198710&partnerID=40&md5=11a7103c539a2d4b18a488b0530ceb74",Article,Final,"",Scopus,2-s2.0-85147198710
"Yang, I., Tezdogan, T., Incecik, A.","57212085106; 56046196100; 7003453599","Numerical investigations of a pivoted point absorber wave energy converter integrated with breakwater using CFD",2023,"Ocean Engineering",274,"", 114025,,,,1,10.1016/j.oceaneng.2023.114025,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85149394592&partnerID=40&md5=7f05e33f87d06838977220d83227651b",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85149394592
"Bastos, A.S., Souza, T.R.C.D., Ribeiro, D.S., Melo, M.D.L.N.M., Martinez, C.B.","55915972500; 58123878400; 58221263700; 57203219604; 13611008800","Wave Energy Generation in Brazil: A Georeferenced Oscillating Water Column Inventory",2023,"Energies",16,"8", 3409,,,,1,10.3390/en16083409,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85156143846&partnerID=40&md5=710b866c3e23b74e8f273ad6d9b2a1a6",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85156143846
"Yang, Y., Martinez, E.","14831842700; 57292804800","Feasibility analysis of a wave powered autonomous underwater vehicle",2023,"Energy Conversion and Management: X",18,"", 100352,,,,1,10.1016/j.ecmx.2023.100352,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85146879875&partnerID=40&md5=0edecc758102399349165b399aef64d0",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85146879875
"Li, B., Li, C., Zhang, B., Deng, F., Yang, H.","57193950520; 58069689200; 57188819056; 36449132900; 58069807700","The effect of the different spacing ratios on wave energy converter of three floating bodies",2023,"Energy",268,"", 126696,,,,1,10.1016/j.energy.2023.126696,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85146462080&partnerID=40&md5=8ddf430be0bfa38f2a486af0e14316ed",Article,Final,"",Scopus,2-s2.0-85146462080
"Arif, M., Khan, F., Ahmed, S., Imtiaz, S.","57217179274; 7402008246; 55456816000; 56088128100","A Generalized Framework for Risk-Based Extreme Load Analysis in Offshore System Design",2023,"Journal of Offshore Mechanics and Arctic Engineering",145,"2", 021701,,,,1,10.1115/1.4055553,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85144007726&partnerID=40&md5=5a5d5cdf165d0494640b3a3c01c527f0",Article,Final,"",Scopus,2-s2.0-85144007726
"Wu, C.-H., Hung, T.-K., Chen, B.-F.","57838613500; 57832168500; 7408609085","Kinematic, dynamic and energy characteristics of swirling sloshing waves",2023,"Ocean Engineering",272,"", 113875,,,,1,10.1016/j.oceaneng.2023.113875,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85150452909&partnerID=40&md5=24b1c39538519ff250168532387f4ce0",Article,Final,"",Scopus,2-s2.0-85150452909
"Han, M., Cao, F., Shi, H., Kou, H., Gong, H., Wang, C.","57463144000; 56479913000; 15023660400; 57973686500; 57211851657; 57973547800","Parametrical study on an array of point absorber wave energy converters",2023,"Ocean Engineering",272,"", 113857,,,,1,10.1016/j.oceaneng.2023.113857,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85147588917&partnerID=40&md5=e086db7ee8374f38a966d1362356d759",Article,Final,"",Scopus,2-s2.0-85147588917
"Chen, W., Lu, Y., Li, S., Gao, F.","56372835300; 57470168600; 57564408100; 56489135000","A bio-inspired foldable-wing wave energy converter for ocean robots",2023,"Applied Energy",334,"", 120696,,,,1,10.1016/j.apenergy.2023.120696,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85146607102&partnerID=40&md5=dd36374cbefc9329933e2bf80775258e",Article,Final,"",Scopus,2-s2.0-85146607102
"Han, M., Cao, F., Shi, H., Zhu, K., Dong, X., Li, D.","57463144000; 56479913000; 15023660400; 56479852000; 57205500535; 57211861927","Layout optimisation of the two-body heaving wave energy converter array",2023,"Renewable Energy",205,"",,410,431,,1,10.1016/j.renene.2023.01.100,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85147818606&partnerID=40&md5=a6ae0087a604dbeacbbe77b9ea2c3703",Article,Final,"",Scopus,2-s2.0-85147818606
"Yao, G., Luo, Z., Lu, Z., Wang, M., Shang, J., Guerrerob, J.M.","57219096064; 12647050100; 57200988883; 57207265414; 57673308600; 57984176300","Principle and control strategy of a novel wave-to-wire system embedded ocean energy storage optimization",2023,"Ocean Engineering",271,"", 113762,,,,1,10.1016/j.oceaneng.2023.113762,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85147278054&partnerID=40&md5=7ec1ea9d4f7fd9529eecdae62d67c186",Article,Final,"",Scopus,2-s2.0-85147278054
"Silva, J.M., Vieira, S.M., Valério, D., Henriques, J.C.C.","57878753400; 8542158100; 23010662200; 36173947400","GA-optimized inverse fuzzy model control of OWC wave power plants",2023,"Renewable Energy",204,"",,556,568,,1,10.1016/j.renene.2023.01.039,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85146463315&partnerID=40&md5=5d40cb150ab0295f86a4ace913e20442",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85146463315
"Clemente, D., Rosa-Santos, P., Ferradosa, T., Taveira-Pinto, F.","55890691500; 14067888200; 55890580500; 56423223800","Wave energy conversion energizing offshore aquaculture: Prospects along the Portuguese coastline",2023,"Renewable Energy",204,"",,347,358,,1,10.1016/j.renene.2023.01.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85146085876&partnerID=40&md5=8b3899b25d111e137cd01920a0028bc1",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85146085876
"Demircioglu, O., Cicek, M.O., Doganay, D., Gazaloglu, G., Baykal, C., Cinar, S., Unalan, H.E.","58079168600; 57219444690; 57191365495; 57942567500; 55324534000; 55183797700; 9334745700","Triboelectric nanogenerators for blue energy harvesting in simulated wave conditions",2023,"Nano Energy",107,"", 108157,,,,1,10.1016/j.nanoen.2022.108157,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85145977817&partnerID=40&md5=5104256d5a9cd21db426d83b2c3c83ff",Article,Final,"",Scopus,2-s2.0-85145977817
"Opoku, F., Uddin, M.N., Atkinson, M.","57406840400; 57406840500; 36625043600","A review of computational methods for studying oscillating water columns – the Navier-Stokes based equation approach",2023,"Renewable and Sustainable Energy Reviews",174,"", 113124,,,,1,10.1016/j.rser.2022.113124,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85145216839&partnerID=40&md5=4df72e0cad4666a5d3ea1e0f45241309",Review,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85145216839
"Li, B., Lv, J., Deng, F., Cui, Y., Zhang, B.","57193950520; 57954175300; 36449132900; 55868472000; 57188819056","The Energy Recovery Effect of Wave Energy Utilization System under the Rolling Motion of Ships",2023,"Journal of Waterway, Port, Coastal and Ocean Engineering",149,"2", 04022030,,,,1,10.1061/JWPED5.WWENG-1912,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85142502966&partnerID=40&md5=56ccc8dfbdc6f39dbd2ef81751359d33",Article,Final,"",Scopus,2-s2.0-85142502966
"Bao, X., Li, F., Sun, H., Iglesias, G., Shi, H.","23011647900; 58088704800; 57211787675; 56261589800; 15023660400","Performance characteristics and parameter analysis of a multi-DOF wave energy converter with hybrid power take-off systems",2023,"Energy Conversion and Management",278,"", 116751,,,,1,10.1016/j.enconman.2023.116751,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85147288588&partnerID=40&md5=6704dec3a1f27bc7b805cc0e3b5fd2b1",Article,Final,"",Scopus,2-s2.0-85147288588
"Yu, T., Li, T., Shi, H., Zhang, Z., Chen, X.","56095891300; 57655669200; 58059845600; 57407517400; 57954432100","Experimental investigation on the wave-oscillating buoy interaction and wave run-up on the buoy",2023,"Ocean Engineering",270,"", 113631,,,,1,10.1016/j.oceaneng.2023.113631,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85146068775&partnerID=40&md5=e8144f0aa58a9fcc5e6c8d1e65f1675b",Article,Final,"",Scopus,2-s2.0-85146068775
"Xu, C., Huang, Z.","57161369800; 35737161900","A laboratory study of wave-induced local scour at an emergent pile breakwater",2023,"Ocean Engineering",270,"", 113618,,,,1,10.1016/j.oceaneng.2023.113618,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85146064354&partnerID=40&md5=e49668dc2a01abd8cfad54ae98dfd5d5",Article,Final,"",Scopus,2-s2.0-85146064354
"Hosseinzadeh, S., Etemad-Shahidi, A., Stewart, R.A.","57191542023; 55927943000; 58023802000","Site Selection of Combined Offshore Wind and Wave Energy Farms: A Systematic Review",2023,"Energies",16,"4", 2074,,,,1,10.3390/en16042074,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85149180365&partnerID=40&md5=a2c1648312be58749d1c67890493f00b",Review,Final,"All Open Access, Gold",Scopus,2-s2.0-85149180365
"Ghasemi, A., Amirabadi, R., Kamalian, U.R., Mazyak, A.R.","57897796700; 55368881600; 57193015376; 57221701695","Numerical modeling investigation of perforated geometry of caisson breakwater under irregular waves by considering porous media",2023,"Ocean Engineering",269,"", 113558,,,,1,10.1016/j.oceaneng.2022.113558,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85145830729&partnerID=40&md5=51d06970b130018a6150be759b68eb85",Article,Final,"",Scopus,2-s2.0-85145830729
"Kozyrakis, G.V., Spanoudaki, K., Varouchakis, E.A.","55659099800; 35070462200; 24400479200","Long-term wave energy potential estimation in the Aegean and Ionian seas using dynamic downscaling and wave modelling techniques.",2023,"Applied Ocean Research",131,"", 103446,,,,1,10.1016/j.apor.2022.103446,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85145776176&partnerID=40&md5=bb7da129e029445bc54d30d234baa0b7",Article,Final,"",Scopus,2-s2.0-85145776176
"Zhang, H., Zhang, N., Cao, X.","57222155137; 7401648227; 58034065500","Conceptualization and dynamic response of an integrated system with a semi-submersible floating wind turbine and two types of wave energy converters",2023,"Ocean Engineering",269,"", 113517,,,,1,10.1016/j.oceaneng.2022.113517,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85144920790&partnerID=40&md5=9e652d9570f51f94e402586ce20e1178",Article,Final,"",Scopus,2-s2.0-85144920790
"Farajvand, M., Grazioso, V., García-Violini, D., Ringwood, J.V.","57356209800; 55414256600; 58250146400; 6603725188","Uncertainty estimation in wave energy systems with applications in robust energy maximising control",2023,"Renewable Energy",203,"",,194,204,,1,10.1016/j.renene.2022.12.054,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85144477530&partnerID=40&md5=e270a5d052e93c129318f9c47c64b9d1",Article,Final,"",Scopus,2-s2.0-85144477530
"Carlo, L., Iuppa, C., Faraci, C.","57217685488; 56719759300; 6603612333","A numerical-experimental study on the hydrodynamic performance of a U-OWC wave energy converter",2023,"Renewable Energy",203,"",,89,101,,1,10.1016/j.renene.2022.12.057,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85144259118&partnerID=40&md5=d5d561ffc95382d9832657b553dafd51",Article,Final,"",Scopus,2-s2.0-85144259118
